title,year,name,type,character,n
Toisenlainen,2016,Pauli Aalto-Set?l?,actor,Pomo,
Pastori Jussilainen,1955,Heikki Aaltoila,actor,Heikki Aaltoila,
Ristikon varjossa,1945,Heikki Aaltoila,actor,Musician,
Aikalainen,1984,Jouko Aaltonen,actor,Head Waiter,16
Aurinkotuuli,1980,Jouko Aaltonen,actor,Man on lecture,12
Klassikko,2001,Juha Aaltonen,actor,Cop,42
Lumikuningatar,1986,Kaj Aaltonen,actor,Linnan vartija,45
Linna,1986,Kalevi Aaltonen,actor,Dancer,
Pedon merkki,1981,Kalevi Aaltonen,actor,Dancer,45
Aktivistit,1939,Kosti Aaltonen,actor,Printer,
Hallin Janne,1950,Kosti Aaltonen,actor,Rosvo,
Hallin Janne,1950,Kosti Aaltonen,actor,Vartija,
Jumalan myrsky,1940,Kosti Aaltonen,actor,Jussi Metelinen,13
Niskavuoren naiset,1938,Kosti Aaltonen,actor,Pehtoori (Manager of an estate),15
Rosvo Roope,1949,Kosti Aaltonen,actor,Driver,23
"Soita minulle, Helena!",1948,Kosti Aaltonen,actor,Oskari,7
Suurin voitto,1944,Kosti Aaltonen,actor,Lumberjack,
Tuhottu nuoruus,1947,Kosti Aaltonen,actor,Kivinen,20
Tuomari Martta,1943,Kosti Aaltonen,actor,Juror,
Varaventtiili,1942,Kosti Aaltonen,actor,Per?l?,19
Esa ja Vesa - auringonlaskun ratsastajat,1994,Remu Aaltonen,actor,HD-Dealer,12
Ganes,2007,Remu Aaltonen,actor,Himself,
Rokkidiggari,1981,Remu Aaltonen,actor,Himself,
